Country,Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,Artist_id,Artist_popularity,Artist_follower,Artist_img,mode_1.0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,time_signature_3,time_signature_4,time_signature_5
global,1370.0,0VPKan5aM2nQy5voiAjjUo,1034856,Cœurs,PNL,https://open.spotify.com/track/0VPKan5aM2nQy5voiAjjUo,0.6786606912935861,0.018279246101593358,-0.0833359453521014,-0.15119678814787066,-0.22299392502842097,-1.1350409550813154,-0.7782957212426759,-1.6643462589709057,-0.5582545776618093,357948,3NH8t45zOTqzlZgBvZRjvB,80,2607096,https://i.scdn.co/image/5183e0a003fb8679a63fbdac311df70c79bc9851,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1371.0,0VgGHwbFBA5B9et2mSDdYQ,1023224,All Night,Beyoncé,https://open.spotify.com/track/0VgGHwbFBA5B9et2mSDdYQ,0.5112807258125439,-0.7602027276323119,-0.30394889609330883,-0.16931852893026964,-0.5576688069668387,-0.2144385063634145,-0.38154132753473863,0.623049115920578,0.46074183074281727,322000,6vWDO969PvNqNYHIOW5v0m,90,21495344,https://i.scdn.co/image/9fef2047e4e3f05031807d5fa9e121b7862ba259,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
global,1372.0,5CMUThHlepHR8c1xD0QYzs,1016847,They Afraid Of You,Trippie Redd,https://open.spotify.com/track/5CMUThHlepHR8c1xD0QYzs,-0.13488379209101445,-0.27448320555902056,-0.04850232155085811,-0.16957677944084176,0.04915927566875403,-0.005538107202075389,-0.7379180617060275,-0.33457077317089645,-1.4327448040319877,138469,6Xgp2XMz1fhVYe7i6yNAax,92,3998147,https://i.scdn.co/image/955a9b53451b9c97a6571202eccfe0b2b94a9e50,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1373.0,4hXAK3mjFVFOOiJQ3rKAXi,1016182,Rudolph The Red-Nosed Reindeer,Burl Ives,https://open.spotify.com/track/4hXAK3mjFVFOOiJQ3rKAXi,1.6089818947812395,-0.054911366813560125,-2.028213274254849,-0.16957677944084176,0.1815581300619744,-2.260942071940533,-0.8028734270475923,1.4445145184113688,0.9927133499664789,130027,0MHgLfmQdutffmvWe5XBTN,75,36275,https://i.scdn.co/image/89c1ee2f7e000530b5b88aecc003f72acec863d0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1374.0,2PRKaIkl62537yLUt8VhHR,1011273,Love Sick,Trippie Redd,https://open.spotify.com/track/2PRKaIkl62537yLUt8VhHR,1.0484536382865866,1.2159438210768307,0.5088356592690337,-0.16909750371851873,3.29293120830265,-0.08729740135659927,-0.22793066625401068,0.9044350548953242,-0.1010747715721933,177981,6Xgp2XMz1fhVYe7i6yNAax,92,3998147,https://i.scdn.co/image/955a9b53451b9c97a6571202eccfe0b2b94a9e50,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
global,1375.0,5gqh2FMBquUEwDsRUU4pCF,1010939,Shenmue,PNL,https://open.spotify.com/track/5gqh2FMBquUEwDsRUU4pCF,-0.7320020875512907,1.5353210410702276,-0.24589285642457004,-0.16902072653969996,-0.5584043561579122,0.40361853667254743,-0.5570963689984276,1.6169768681055676,0.12743376537912693,249598,3NH8t45zOTqzlZgBvZRjvB,80,2607096,https://i.scdn.co/image/5183e0a003fb8679a63fbdac311df70c79bc9851,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
global,1376.0,6MR5IBSNfDmiwnrlQpVw4w,1005693,Club Paradise,Drake,https://open.spotify.com/track/6MR5IBSNfDmiwnrlQpVw4w,1.9476343830800924,-2.2639371384345544,0.6075309267058897,-0.16919987329027703,0.04180378375801956,0.021114702346095724,-0.2454861704003796,0.25089351921204306,2.0187397888484573,283816,3TVXtAsR1Inumwj472S9r4,99,43763483,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
global,1377.0,6keKIzkXWdbwJWMBJQUwYl,1004677,The First Noel - Remastered 1999,Frank Sinatra,https://open.spotify.com/track/6keKIzkXWdbwJWMBJQUwYl,2.71836073576024,-3.341835255912268,-2.7364969582134617,-0.1681808307350465,-0.12001703827813846,-3.4185384217759527,-0.8204289311939612,-1.5009608750500854,-1.217450120663097,161373,1Mxqyy3pSjf8kZZL4QVxS0,88,3528165,https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
global,1378.0,6GivWRmlYtefJr28jev6e0,993607,Leray,Trippie Redd,https://open.spotify.com/track/6GivWRmlYtefJr28jev6e0,2.0683036605199137,0.6370726098387993,-2.4926615916047594,-0.15759488638276567,-0.480436141904127,-2.0729317126953277,-0.3771524514981464,-0.5388025030719217,0.3482287966677977,122707,6Xgp2XMz1fhVYe7i6yNAax,92,3998147,https://i.scdn.co/image/955a9b53451b9c97a6571202eccfe0b2b94a9e50,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
global,1379.0,54q6WgqyTXjwOSrevVR8z9,993330,"Baby, It's Cold Outside (feat. Kelly Clarkson)",John Legend,https://open.spotify.com/track/54q6WgqyTXjwOSrevVR8z9,0.9394620328570705,-0.8932765692962266,-0.18203121278895734,-0.16957677944084176,-0.112661546367404,0.05929305115834041,-0.5017965309373655,0.028507857764259747,0.42627515354135775,218920,5y2Xq6xcjJb2jVM54GHK3t,85,4804945,https://i.scdn.co/image/2bcc50240e556e832fde021700fdca5629d31440,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
global,1380.0,4buHBCFNm5WvttEDevaj9C,991922,White Christmas,Michael Bublé,https://open.spotify.com/track/4buHBCFNm5WvttEDevaj9C,1.1379824570322603,-0.9997356426273589,-0.5826178865032544,-0.16957677944084176,-0.7518537934102285,0.24262116007751539,-0.6905182005108313,0.5685873212803044,0.21508132128425508,204157,1GxkXlMwML1oSg5eLPiAz3,92,3547268,https://i.scdn.co/image/6bf4c3c955399c4c45cd0677a860a42f39b6a508,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1381.0,3MhNgzZwFtUF6jSr6pRSkW,977771,Ain't A Thing (feat. Bonn),Avicii,https://open.spotify.com/track/3MhNgzZwFtUF6jSr6pRSkW,1.1146271130116499,-1.4921088567838456,-1.168983887157516,-0.16957677944084176,-0.8864592953766691,-0.29115537708990596,-0.656284967425412,-1.1015743810214138,1.5626991080676713,183661,1vCWHaC5f2uS3yhpwWbIA6,89,16559762,https://i.scdn.co/image/81b19a403109c4fe528ee3972137127b85be9519,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
global,1382.0,660eekzsNZ7sdATvfIsAkR,973035,"Fuego (with Sean Paul & Anitta, feat. Tainy)",DJ Snake,https://open.spotify.com/track/660eekzsNZ7sdATvfIsAkR,-0.9079456791732234,0.9364887535826083,1.3622594423994934,-0.16957677944084176,-0.6084217011509065,0.07694153315645336,0.8253995825281238,0.564048838393615,-0.5611512105899773,195429,540vIaP2JwjQb9dm3aArA4,88,6393532,https://i.scdn.co/image/4c684a7c0a70d1f506595739c14f8a76ebef6687,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
global,1383.0,2iFgHPoa7FNHwgLnjXzu7F,971336,PUPPE,Rammstein,https://open.spotify.com/track/2iFgHPoa7FNHwgLnjXzu7F,-0.9137845151783761,-0.6470899622179838,1.14745209562516,-0.16957677944084176,-0.35539277942164116,-0.31096489770003316,-0.6369739128644061,-0.8519578222534939,-0.16984539378813682,273707,6wWVKhxIU2cEi0K81v7HvP,83,3823990,https://i.scdn.co/image/cdf344b2f5124d1f2f1217c45f12096730c70560,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
global,1384.0,08Fvx5MZ9RAvSbXOR1jbxy,970679,Affalterbach,Shindy,https://open.spotify.com/track/08Fvx5MZ9RAvSbXOR1jbxy,-0.9523208328123834,0.9364887535826083,0.28822270852782694,-0.16957677944084176,1.5423241335478493,0.6535786694621497,1.7295080460661227,1.2629752029437906,-0.2034333171799274,173220,5j21TGkrNEAJe3gG9VlS34,76,608268,https://i.scdn.co/image/f5f8bbf2fb41a3f0cbcc90f2bedc9505e9032345,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
